"Mineral","Value","Numeric_Value","Safe Range","Health Impacts Above Safe Range"
"Alkalinity as CaCO3",23.5,23.5,"20-200 ppm","May cause scaling in pipes and unpleasant taste in water"
"Aluminum",23.0,23.0,"0-200 ppb","Linked to neurotoxicity and potential risk for Alzheimer's"
"Ammonia",0.05,0.05,"0-0.5 ppm","May cause kidney damage and gastrointestinal irritation"
"Calcium","11.0 (out of range)",11.0,"40-100 ppm","Can lead to kidney stones and scaling in plumbing"
"Chloride",6.4,6.4,"0-250 ppm","May cause hypertension and a salty taste in water"
"Conductivity",103.0,103.0,"0-1500 µmhos/cm","Indicates potential for harmful dissolved solids"
"Iron",50.0,50.0,"0-300 ppb","May cause discoloration; bad taste; and potential organ damage"
"Magnesium","2.0 (out of range)",2.0,"10-50 ppm","Excess can cause diarrhea and laxative effects"
"Manganese",10.0,10.0,"0-50 ppb","Linked to nervous system damage in high doses"
"Sodium",3.9,3.9,"0-20 ppm","High levels can contribute to hypertension and cardiovascular risks"
"Sulfate",10.7,10.7,"0-250 ppm","May cause diarrhea and gastrointestinal irritation"
"Total Hardness",35.0,35.0,"0-120 ppm","High hardness may cause scaling in plumbing and appliances"
"Zinc",10.0,10.0,"0-500 pp","Can cause nausea; vomiting; and abdominal pain"
"pH","8.81 (out of range)",8.81,"6.5-8.5","Low pH causes corrosion; high pH can cause scaling and bitter taste"
